trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-214.6787329575022,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-110.81444266496116,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-93.37704085192628,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-232.80313072349898,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-58.28827037281842,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-45.5746396063642,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-120.38801041477302,"{0: 14, 1: 4, 2: 3, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-94.2224868643483,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-36.99474448246394,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-172.56928337550625,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-4.783128468470504,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-79.69657937577189,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-50.008738151980104,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,26.075335715601557,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-132.01912494188582,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-92.79237434995186,"{0: 30, 1: 1, 2: 0, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,2,22.374676552658553,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,2.8721163144810578,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,19.21167882117591,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,23.686931503427676,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,15,18.899328015705706,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,35.22452177766697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,21,8.085324009426756,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,13.21949501880496,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-15.243384966880118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,15,-23.42626209729883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,8,-18.925347991406795,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-33.03462252893635,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,18,16.136749317940478,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,32.098219777496595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
