trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-67.19507753786606,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-282.61307982722013,"{0: 12, 1: 6, 2: 5, 3: 3, 4: 4}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-217.3330298872911,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-243.02393188778447,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-37.4845045372031,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,16,7.754653859922284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",35,0,-127.63542312471989,"{0: 21, 1: 6, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-159.49163748321178,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-110.49506224463981,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",35,0,-193.63446651208974,"{0: 18, 1: 5, 2: 7, 3: 4, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-54.15458726659015,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-89.91415647647747,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-155.16626549995166,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-149.69388906268034,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-97.69441026884513,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-147.3958102368169,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-182.35009129337809,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-121.44591029734563,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,3,-69.55712006157175,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-107.48323573238827,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
