trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,6,-84.2050693200189,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.82393172641333,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.35659677741637,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.01259628338144,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.16029563405522,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.79108356563762,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.40243591501915,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.321311242277936,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.23843009455185,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.77252047024775,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.69074269288123,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,5,-9.179771195278903,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.47383223768318,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.21678178420719,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.46092400238769,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.668528848813807,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.57049551658312,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.85675756167053,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.443648584628827,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.37249246674864,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,1,-95.82081727543569,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.51393961895027,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.28368597072537,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.93813676498922,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-180.40725646080045,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,7,-60.86245444130236,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.4696277068398,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.49095694458597,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.58416147781132,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.48430531967526,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
